month,title,prefecture,address,lat,lon
201801,【初・中級者向け】Python+Janome+gensim で学ぶ自然言語処理入門 #2,東京都,東京都千代田区九段南1-5-6  (りそな九段ビル5F),35.695138600000,139.751820200000
201801,【初学者】Pythonを一緒に勉強しよう！もくもく会,東京都,渋谷区渋谷2-12-13八千代ビル8階 TOMO PARTNERS内,35.658650000000,139.707964000000
201801,【eLV】ICTを支える「考え方」シリーズ：S05-A物理学の考え方 (時空・ベクトル・テンソル編),東京都,東京都千代田区平河町1-4-3(平河町伏見ビル2F),35.682820300000,139.739030000000
201801,[秋葉原] ゆるふわPythonもくもく勉強会 (初心者歓迎！),東京都,東京都千代田区神田須田町２丁目１９−２３ (野村第３ビル ４階),35.696575200000,139.771830100000
201801,Python ユーザーのための Jupyter 実践入門 読書 & もくもく会 - 1枚目,東京都,東京都港区北青山3丁目3番7号 第一青山ビル3階,35.668363100000,139.714833100000
201801,姫路IT系勉強会 2018.01,兵庫県,兵庫県姫路市白銀町20 しらさぎビル6F,34.829948800000,134.690621600000
201801,Djangoもくもく会 #04 in 御徒町,東京都,東京都台東区台東4-31-1 （ALビル 6号室）,35.707201900000,139.777479300000
201801,PyLadies Tokyo Meetup #28 もくもく会,東京都,東京都新宿区西新宿2-7-1 小田急第一生命ビル9階,35.691723300000,139.691089700000
201801,AI領域でキャリアを積みたい人の機械学習入門,東京都,東京都渋谷区渋谷2-17-3 渋谷東宝ビル,35.659311600000,139.704839100000
201801,【未経験者対象】AI(人工知能)がゼロから学べる完全無料のテクノロジー学習説明会・体験会,東京都,東京都中央区八重洲2-8-7 (福岡ビル4F),35.676588600000,139.768008700000
201801,渋谷で IT・AI セミナー開催！！,東京都,渋谷区渋谷2-12-13八千代ビル8階 TOMO PARTNERS内 CREATOR'S HIVE,35.658650000000,139.707964000000
201801,【Coursera】Deep Learning勉強会,東京都,,35.654761300000,139.698623500000
201801,Python 3 エンジニア認定基礎試験対策セミナー <特典>お得な3つのサポート付き！！,東京都,東京都港区麻布台1-9-14 ランドコム麻布台8F,35.659725900000,139.742161100000
201801,[秋葉原] Pythonではじめる機械学習勉強会 「教師ありの残り＋3章 教師あり学習(前半)」,東京都,東京都千代田区神田須田町２丁目１９−２３  (野村第３ビル４階),35.696575200000,139.771830100000
201801,Python機械学習プログラミング勉強会#2,東京都,東京都新宿区新宿2-3-11-4F,35.689218600000,139.707910200000
201801,[秋葉原] ゼロから作るDeep Learning 輪読勉強会(5章 誤差逆伝播法)後半 & 復習,東京都,東京都千代田区神田須田町２丁目１９−２３ (野村第３ビル ４階),35.696575200000,139.771830100000
201801,PythonでWebアプリを作ろう [女性対象/男女コーチ◎] 2018.01,東京都,東京都千代田区平河町1-4-3 平河町伏見ビル 2F,35.682829600000,139.739037300000
201801,Kerasで転移学習が出来るまで頑張る会 vol.5,神奈川県,神奈川県茅ヶ崎市十間坂 1-4-2,35.330723600000,139.401633300000
201801,[秋葉原] ゼロから作るDeep Learning 輪読勉強会(5章 誤差逆伝播法) 前半,東京都,東京都千代田区神田須田町２丁目１９−２３ (野村第３ビル ４階),35.696575200000,139.771830100000
201801,Unagi.py 勉強会 第1枚目,静岡県,浜松市中区東伊場二丁目7-2,34.698402400000,137.717421400000
201801,【大阪】DeepLearning初心者による初心者のための読書会II【第５章６節】,大阪府,大阪市中央区本町4丁目7-7 飛鳥ビル303 ,34.684914700000,135.498200900000
201801,JavaScript MeetUp Okinawa 第1回,沖縄県,沖縄県沖縄市中央１丁目１６−９,26.337095700000,127.800244700000
201801,統計・マーケ・機械学習 Meetup！ #4 @ ゴーリスト,東京都,東京都千代田区神田須田町1‐18 (アーバンスクエア神田ビル4階),35.695419700000,139.771005200000
201801,[秋葉原] Pythonではじめる機械学習勉強会 「2章 教師あり学習(後半)」,東京都,東京都千代田区神田須田町２丁目１９−２３  (野村第３ビル４階),35.696575200000,139.771830100000
201801,Python3ではじめるシステムトレード入門　第9回連続セミナー 午後の部　初心者の方、大歓迎,東京都,中央区日本橋茅場町1-10-8（グリンヒルビル）,35.679830200000,139.779357900000
201801,Python3ではじめるシステムトレード入門　第9回連続セミナー　午前の部 初心者の方大歓迎,東京都,中央区日本橋茅場町1-10-8（グリンヒルビル）,35.679830200000,139.779357900000
